country,average_salary_in_usd
Germany,81985
Russia,157500
France,62553
Austria,75784
Canada,108633
Ukraine,13400
Nigeria,30000
India,27616
Spain,53852
Poland,76964
United Kingdom,85333
Portugal,55725
Denmark,54716
Singapore,89514
Mexico,18193
Turkey,21761
Netherlands,52700
United Arab Emirates,115000
Japan,135922
China,71665.5
Hungary,35735
Kenya,9272
Colombia,21844
New Zealand,125000
Iran,4000
Chile,40798
Pakistan,10000
Belgium,89402
Greece,44214
Slovenia,25032
Brazil,16026
Switzerland,5898
Italy,21669
Moldova,18000
Luxembourg,61163
Vietnam,4000
American Samoa,18102
Croatia,45618
Israel,119353
Malta,28608
United States of America,145059
