job_title,salary_in_usd
Data Science Consultant,64369
Data Scientist,68428
Machine Learning Engineer,125000
Research Scientist,450000
Data Analyst,46759
Data Engineer,74130
Data Scientist,13400
Data Scientist,75966
Data Scientist,150000
Data Science Consultant,103000
Data Engineering Manager,153000
Data Engineer,90000
Data Analyst,90000
Data Analyst,60000
Data Scientist,50000
AI Scientist,12000
Machine Learning Engineer,47681
Data Engineer,28801
Research Scientist,83000
Machine Learning Engineer,250000
Data Analyst,59601
Data Analyst,80000
Data Analyst,10000
Machine Learning Engineer,138000
Data Engineer,140000
Data Analyst,80000
Data Scientist,45760
BI Data Analyst,100000
Data Scientist,53641
BI Data Analyst,150000
Data Engineering Manager,79833
Data Science Consultant,77481
Lead Data Engineer,103750
Machine Learning Engineer,95362
Data Engineer,30509
Data Engineer,150000
Data Engineer,115000
Research Scientist,187917
Data Analyst,51814
Data Engineer,106000
Data Engineer,112872
BI Data Analyst,36732
Data Engineer,150000
Data Scientist,76958
Data Scientist,29831
Lead Data Engineer,276000
Data Engineer,188000
Data Scientist,105000
Data Engineer,200000
Data Engineering Manager,174000
Data Analyst,93000
Data Scientist,28475
Research Scientist,61270
Data Scientist,90000
Data Engineer,70139
Data Analyst,6072
Data Engineer,33511
Data Engineer,96833
Data Engineer,13105
Data Scientist,36952
Data Engineer,72625
Data Analyst,91000
Data Scientist,165000
Data Analyst,80000
Data Scientist,103954
Data Engineer,21695
Research Scientist,42000
Research Scientist,63971
Data Analyst,200000
Big Data Engineer,109024
Data Engineer,110000
Data Scientist,79833
Data Engineer,72500
Machine Learning Engineer,185000
Data Engineer,70329
Research Scientist,100000
Data Engineer,112000
Machine Learning Engineer,150000
Data Scientist,21843
AI Scientist,55000
Data Scientist,58000
Data Scientist,100000
Data Scientist,78340
Machine Learning Engineer,85000
Data Science Consultant,77481
Data Analyst,72000
Data Engineer,65561
Data Engineer,30337
Data Engineer,111775
Data Engineer,93150
Lead Data Engineer,160000
Data Scientist,25747
Machine Learning Engineer,66442
Data Scientist,16949
Data Analyst,64369
Big Data Engineer,16271
Data Analyst,71968
Data Scientist,35735
Data Scientist,135000
Machine Learning Engineer,25032
Machine Learning Engineer,24407
BI Data Analyst,9272
Data Scientist,147000
Research Scientist,96357
Machine Learning Engineer,21844
Lead Data Engineer,125000
Data Scientist,51321
Data Scientist,40481
Data Science Consultant,70329
Data Engineer,4000
Data Scientist,39916
Data Engineer,26224
Data Scientist,91500
Big Data Engineer,22671
Data Scientist,5695
Machine Learning Engineer,81000
Data Scientist,40798
Data Scientist,2876
Data Science Consultant,90000
Data Scientist,61985
Data Scientist,38144
Data Analyst,85000
Data Scientist,56578
Data Scientist,33899
Data Scientist,117583
Machine Learning Engineer,47129
Data Analyst,8000
Data Engineer,41689
Big Data Engineer,114047
Machine Learning Engineer,89402
Data Science Consultant,5707
Lead Data Engineer,56000
Data Scientist,89402
Machine Learning Engineer,43331
Data Engineer,47899
BI Data Analyst,98000
Data Engineer,66400
Research Scientist,57217
Machine Learning Engineer,25032
Data Engineer,20000
Machine Learning Engineer,200000
AI Scientist,45896
Data Scientist,160000
Research Scientist,50000
Data Scientist,13000
Data Engineer,165000
Big Data Engineer,5898
Data Scientist,42197
Data Scientist,62726
Data Scientist,91500
Data Scientist,21669
Data Engineer,110000
Data Scientist,120000
Data Scientist,87961
Data Engineer,77481
Machine Learning Engineer,74000
Big Data Engineer,18000
Data Scientist,130000
Data Scientist,38776
Data Scientist,47204
Data Scientist,4000
AI Scientist,18102
Data Scientist,91237
Data Scientist,62726
Data Scientist,115000
AI Scientist,12000
Data Analyst,75000
Data Analyst,62000
Data Scientist,73000
Data Engineer,45773
Data Scientist,118000
Data Scientist,138350
Data Engineer,130800
Machine Learning Engineer,45618
Data Scientist,119353
Data Engineer,28608
Data Scientist,412000
Data Scientist,105000
